"time","ee_y","joint_angle_2","joint_angle_3","joint_angle_6","joint_angle_5","joint_angle_4","ee_z","ee_x","joint_angle_1"
0.352,-0.3071515297683794,4.136009902117151,13.38401116189895,0,47.98347905000318,-48.27051013071666,0.6323613609683321,0.2612118672288402,-1.241066683299795
0.354,-0.3064717327694451,4.111826234866772,13.42818701877626,0,48.09814622899905,-48.38566224944481,0.6315167098912431,0.2616655029842023,-1.230954892951478
0.356,-0.305795902762564,4.087565701579093,13.47205511163051,0,48.21192465260702,-48.49988540323249,0.6306768843413199,0.2621138257952016,-1.220778319615167
0.358,-0.3051240272740424,4.06323203352421,13.51561753329038,0,48.32482235624983,-48.61318821438443,0.6298418715803068,0.2625568966667854,-1.2105392934731
0.36,-0.3044560936048829,4.038828895195548,13.55887635977938,0,48.43684728775678,-48.72557920892072,0.6290116585233831,0.2629947759507068,-1.200240102663426
0.362,-0.3037920888388687,4.014359885294319,13.60183365052454,0,48.5480073085647,-48.83706681789618,0.6281862317507166,0.2634275233511793,-1.189882993880587
0.364,-0.3031319998505654,3.989828537695655,13.64449144856701,0,48.65831019486513,-48.94765937867041,0.6273655775189078,0.2638551979305021,-1.179470172975807
0.366,-0.3024758133131581,3.965238322407641,13.68685178077064,0,48.76776363871921,-49.057365136172,0.6265496817721616,0.2642778581146222,-1.16900380554953
0.368,-0.301823515705952,3.940592646510999,13.72891665801926,0,48.87637524920205,-49.16619224412348,0.6257385301531295,0.2646955616987594,-1.158486017540363
0.37,-0.3011750933218872,3.915894855091978,13.77068807541921,0,48.98415255346231,-49.27414876628015,0.6249321080135272,0.2651083658529069,-1.147918895805395
0.372,-0.3005305322746113,3.891148232151894,13.81216801248768,0,49.09110299784852,-49.38124267760585,0.6241304004244393,0.2655163271274588,-1.137304488699558
0.374,-0.2998898185056574,3.866356001516575,13.85335843334232,0,49.19723394892902,-49.48748186547837,0.6233333921864268,0.2659195014586517,-1.126644806640381
0.376,-0.2992529377912291,3.841521327725868,13.89426128688546,0,49.30255269456165,-49.59287413083347,0.6225410678393826,0.2663179441741017,-1.115941822675375
0.378,-0.2986198757488864,3.816647316911294,13.934878506984,0,49.40706644492406,-49.69742718930951,0.6217534116721204,0.2667117099982932,-1.105197473038704
0.38,-0.2979906178441359,3.791737017663587,13.97521201264834,0,49.51078233350739,-49.80114867238223,0.6209704077317513,0.2671008530580098,-1.094413657702482
0.382,-0.2973651493967733,3.766793421885344,14.01526370820242,0,49.61370741812161,-49.90404612846311,0.6201920398328291,0.2674854268877904,-1.083592240922117
0.384,-0.2967434555869928,3.741819465633883,14.05503548345865,0,49.7158486818982,-50.0061270239913,0.6194182915662123,0.2678654844353689,-1.072735051779102
0.386,-0.2961255214615947,3.716818029953663,14.09452921388001,0,49.81721303421439,-50.10739874450714,0.6186491463078536,0.2682410780670171,-1.061843884709337
0.388,-0.2955113319397872,3.691791941694334,14.13374676074304,0,49.91780731166951,-50.20786859571244,0.6178845872271984,0.2686122595729472,-1.050920500031043
0.39,-0.2949008718189585,3.666743974318338,14.17268997130074,0,50.01763827901198,-50.30754380450215,0.6171245972955078,0.2689790801726574,-1.039966624467433
0.392,-0.2942941257802432,3.641676848696593,14.21136067893696,0,50.11671263007299,-50.40643151999589,0.6163691592938566,0.2693415905202642,-1.028983951660953
0.394,-0.2936910783940084,3.61659323389575,14.24976070331774,0,50.21503698866618,-50.50453881453963,0.6156182558210471,0.2696998407097954,-1.017974142678822
0.396,-0.293091714125257,3.591495747953453,14.28789185054917,0,50.31261790945391,-50.60187268470224,0.6148718693013242,0.2700538802804376,-1.006938826517693
0.398,-0.2924960173386787,3.566386958639372,14.32575591331581,0,50.40946187887077,-50.69844005225256,0.6141299819917362,0.2704037582218368,-0.9958796005972745
0.4,-0.291903972303818,3.5412693842127,14.36335467103049,0,50.50557531595343,-50.79424776512062,0.6133925759895306,0.2707495229792761,-0.9847980312493204
0.402,-0.2913155631999172,3.516145494161633,14.40068988997658,0,50.60096457321569,-50.88930259834666,0.612659633239187,0.2710912224589136,-0.9736956542022078
0.404,-0.2907307741207659,3.491017709936727,14.4377633234465,0,50.69563593747838,-50.98361125500636,0.6119311355394048,0.2714289040329344,-0.9625739750598369
0.406,-0.2901495890794117,3.465888405675141,14.47457671187797,0,50.78959563068337,-51.07718036714273,0.6112070645498368,0.2717626145446815,-0.9514344697679675
0.408,-0.289571992012655,3.440759908912833,14.51113178298868,0,50.88284981072549,-51.17001649665929,0.6104874017976842,0.2720924003137944,-0.9402785850815975
0.41,-0.2889979667854842,3.415634501285517,14.54743025190858,0,50.97540457225642,-51.26212613621468,0.609772128684086,0.272418307141305,-0.9291077390246706
0.412,-0.2884274971954655,3.390514419222207,14.58347382131029,0,51.06726594745506,-51.35351571010519,0.6090612264903996,0.2727403803146799,-0.9179233213412374
0.414,-0.2878605669769209,3.365401854628571,14.61926418153297,0,51.15843990681815,-51.44419157512156,0.6083546763843022,0.2730586646128649,-0.90672669394227
0.416,-0.2872971598050689,3.340298955563133,14.65480301070938,0,51.24893235991381,-51.53416002140752,0.6076524594257404,0.2733732043112678,-0.8955191913454574
0.418,-0.2867372592999484,3.315207826898305,14.69009197488968,0,51.33874915615527,-51.62342727329379,0.6069545565726818,0.2736840431867703,-0.8843021211121794
0.42,-0.2861808490303788,3.290130530978932,14.72513272815992,0,51.42789608552764,-51.71199949013039,0.6062609486867813,0.2739912245226382,-0.8730767642739242
0.422,-0.2856279125177406,3.265069088266634,14.75992691276076,0,51.51637887932272,-51.79988276709171,0.6055716165389008,0.2742947911134554,-0.8618443757564354
